year,month,date,generated_coal,generated_gas,price_oil_average,price_oil_brent,price_oil_dubai,price_oil_WTI,price_coal_australia,price_coal_africa,price_naturalgas_USA,price_naturalgas_Europe,price_lng_japan,natural_gas_index
2002,1,2002-01-01,164.3580183,49.33554705,19.15,19.49,18.29,19.69,27.35,29.7,2.25,3.06,4.21,44.72
2002,2,2002-02-01,143.0488217,45.06809104,19.98,20.29,18.91,20.72,28.1,28.95,2.31,3.03,4.12,45.25
2002,3,2002-03-01,151.4856513,52.1183915,23.64,23.69,22.85,24.38,27.8,28.35,3.03,2.97,3.99,53.62
2002,4,2002-04-01,142.3045945,50.03634974,25.43,25.65,24.41,26.24,27.09,26.83,3.42,2.81,3.96,57.57
2002,5,2002-05-01,151.4064007,51.18480191,25.67,25.39,24.59,27.04,26.88,25.75,3.49,2.83,4.01,58.55
2002,6,2002-06-01,164.6676952,66.63967754,24.49,24.13,23.83,25.51,24.9,24.38,3.22,2.9,4.06,55.64
2002,7,2002-07-01,183.1947021,84.98841459,25.75,25.77,24.57,26.92,23.15,22.73,2.98,2.95,4.56,53.3
2002,8,2002-08-01,179.9554467,85.59358509,26.78,26.63,25.32,28.37,22.25,21.25,3.09,3.01,4.35,54.78
2002,9,2002-09-01,165.3663089,69.21444255,28.28,28.34,26.83,29.67,22.7,23.08,3.57,3.08,4.46,61.02
2002,10,2002-10-01,159.0992943,55.10842093,27.53,27.55,26.18,28.85,24.5,27.35,4.12,3.28,4.54,68.7
2002,11,2002-11-01,156.0536546,46.05503687,24.54,24.18,23.16,26.28,24.5,26.98,4.04,3.34,4.56,68.03
2002,12,2002-12-01,172.1897653,47.12567186,27.89,28.52,25.7,29.44,24.5,26.94,4.74,3.36,4.56,76.62
2003,1,2003-01-01,181.3131534,51.45864028,30.75,31.25,28.05,32.95,24.9,27.46,5.41,3.61,4.69,85.98
2003,2,2003-02-01,156.9824813,44.67811613,32.88,32.65,30.2,35.8,25.15,27,7.77,3.67,4.8,115.1
2003,3,2003-03-01,155.001775,47.96580756,30.36,30.34,27.42,33.32,24.4,25.75,5.95,3.74,4.78,93.23
2003,4,2003-04-01,141.9599814,46.49993187,25.56,25.02,23.43,28.22,23.45,23.83,5.29,4.03,4.78,86.63
2003,5,2003-05-01,150.2629767,50.68296112,26.06,25.81,24.25,28.13,23.3,23.65,5.84,4.04,4.74,93.31
2003,6,2003-06-01,162.2846304,55.68829241,27.92,27.55,25.5,30.71,24.1,26.75,5.77,4.05,4.77,92.58
2003,7,2003-07-01,181.8523183,78.23036256,28.59,28.4,26.63,30.75,24.35,29.5,5.01,4.04,4.75,83.2
2003,8,2003-08-01,185.3318234,84.53376365,29.68,29.83,27.62,31.58,25.33,30.19,4.97,3.98,4.67,82.45
2003,9,2003-09-01,164.9100018,60.399345,26.88,27.1,25.27,28.28,26.7,34.14,4.61,3.97,4.7,78.07
2003,10,2003-10-01,159.322942,53.11541572,29.01,29.59,27.13,30.32,27.5,36.69,4.64,3.88,4.62,77.87
2003,11,2003-11-01,158.2231941,46.77941573,29.12,28.77,27.5,31.09,29.91,39.19,4.53,3.9,4.72,76.72
2003,12,2003-12-01,176.2914726,45.47550837,29.97,29.93,27.86,32.12,34,38.69,6.13,3.97,4.75,96.49
