year,month,date,generated_coal,generated_gas,price_naturalgas_USA,price_naturalgas_Europe
2002,1,1/1/2002,164.3580183,49.33554705,2.25,3.06
2002,2,2/1/2002,143.0488217,45.06809104,2.31,3.03
2002,3,3/1/2002,151.4856513,52.1183915,3.03,2.97
2002,4,4/1/2002,142.3045945,50.03634974,3.42,2.81
2002,5,5/1/2002,151.4064007,51.18480191,3.49,2.83
2002,6,6/1/2002,164.6676952,66.63967754,3.22,2.9
2002,7,7/1/2002,183.1947021,84.98841459,2.98,2.95
2002,8,8/1/2002,179.9554467,85.59358509,3.09,3.01
2002,9,9/1/2002,165.3663089,69.21444255,3.57,3.08
2002,10,10/1/2002,159.0992943,55.10842093,4.12,3.28
2002,11,11/1/2002,156.0536546,46.05503687,4.04,3.34
2002,12,12/1/2002,172.1897653,47.12567186,4.74,3.36
2003,1,1/1/2003,181.3131534,51.45864028,5.41,3.61
2003,2,2/1/2003,156.9824813,44.67811613,7.77,3.67
2003,3,3/1/2003,155.001775,47.96580756,5.95,3.74
2003,4,4/1/2003,141.9599814,46.49993187,5.29,4.03
2003,5,5/1/2003,150.2629767,50.68296112,5.84,4.04
2003,6,6/1/2003,162.2846304,55.68829241,5.77,4.05
2003,7,7/1/2003,181.8523183,78.23036256,5.01,4.04
2003,8,8/1/2003,185.3318234,84.53376365,4.97,3.98
2003,9,9/1/2003,164.9100018,60.399345,4.61,3.97
2003,10,10/1/2003,159.322942,53.11541572,4.64,3.88
2003,11,11/1/2003,158.2231941,46.77941573,4.53,3.9
2003,12,12/1/2003,176.2914726,45.47550837,6.13,3.97
2004,1,1/1/2004,180.6574205,49.43549891,6.09,3.87
2004,2,2/1/2004,161.5030922,51.51341764,5.38,3.89
2004,3,3/1/2004,154.2884192,51.09288725,5.4,3.86
2004,4,4/1/2004,141.4709562,53.1672206,5.72,3.92
2004,5,5/1/2004,157.0163772,63.32425042,6.34,3.95
2004,6,6/1/2004,167.6419063,66.01893054,6.27,4.01
2004,7,7/1/2004,181.4918206,80.57405663,5.93,4.28
2004,8,8/1/2004,178.1813426,79.11070365,5.4,4.34
2004,9,9/1/2004,164.2529233,69.19496937,5.14,4.41
2004,10,10/1/2004,157.6050954,58.4974494,6.41,4.83
2004,11,11/1/2004,157.4359942,50.90862936,6.09,4.96
2004,12,12/1/2004,176.7552014,52.51443343,6.58,5.01
2005,1,1/1/2005,177.0139066,52.46381766,6.15,5.46
2005,2,2/1/2005,155.8180141,45.98866718,6.14,5.49
2005,3,3/1/2005,163.6127005,53.11145965,6.97,5.52
2005,4,4/1/2005,143.083239,53.13774457,7.15,5.86
2005,5,5/1/2005,153.9579615,56.01730734,6.47,5.89
2005,6,6/1/2005,174.8669973,76.78463215,7.19,5.91
2005,7,7/1/2005,186.0907572,97.98029239,7.63,6.42
2005,8,8/1/2005,187.5737544,101.9584657,9.63,6.56
2005,9,9/1/2005,171.6562155,74.50075892,12.88,6.58
2005,10,10/1/2005,162.436793,57.02094829,13.52,7.28
2005,11,11/1/2005,158.797527,50.40541572,10.43,7.46
2005,12,12/1/2005,177.9651796,55.05488831,12.83,7.49
2006,1,1/1/2006,169.2360806,44.96380897,8.66,7.96
2006,2,2/1/2006,158.6161889,48.52276302,7.49,7.95
2006,3,3/1/2006,161.3251152,56.15525463,6.9,7.99
2006,4,4/1/2006,141.4262336,57.27087787,7.09,8.24
2006,5,5/1/2006,157.0097551,66.88104942,6.2,8.28
2006,6,6/1/2006,169.6934782,82.22727681,6.19,8.29
2006,7,7/1/2006,187.8208715,109.3607981,6.25,8.58
2006,8,8/1/2006,189.4549297,107.8832577,7,8.71
2006,9,9/1/2006,161.5903542,73.82623171,4.86,8.77
2006,10,10/1/2006,161.3896591,71.82543121,5.96,8.97
2006,11,11/1/2006,159.4395173,54.50429394,7.45,8.99
2006,12,12/1/2006,173.5089511,57.19653411,6.58,8.92
2007,1,1/1/2007,175.7394377,62.62865079,6.58,8.59
2007,2,2/1/2007,163.6028126,58.6034761,7.97,8.56
2007,3,3/1/2007,159.8110739,57.43771145,7.12,8.37
2007,4,4/1/2007,146.2495412,61.3159398,7.59,8
2007,5,5/1/2007,157.5132812,67.64427363,7.61,7.98
2007,6,6/1/2007,173.512884,82.66514136,7.3,8.03
2007,7,7/1/2007,185.0537876,98.636803,6.22,8.13
2007,8,8/1/2007,190.1348163,122.4700766,6.2,8.34
2007,9,9/1/2007,169.3912728,89.65135016,6.1,8.54
2007,10,10/1/2007,162.2343561,79.49157322,6.8,9.16
2007,11,11/1/2007,159.3824546,61.66801132,7.14,9.47
2007,12,12/1/2007,173.8298655,67.8301376,7.15,9.49
2008,1,1/1/2008,182.8755043,73.66307185,8,10.7
2008,2,2/1/2008,166.6663548,61.01434428,8.55,10.84
2008,3,3/1/2008,160.743243,63.22003189,9.4,11.04
2008,4,4/1/2008,146.9830239,64.06732824,10.13,12.19
2008,5,5/1/2008,154.9159014,63.31443834,11.23,12.38
2008,6,6/1/2008,171.043279,85.75216536,12.68,12.63
2008,7,7/1/2008,186.7334563,101.4952779,11.15,14.37
2008,8,8/1/2008,180.576493,100.8204378,8.25,14.64
2008,9,9/1/2008,161.3563473,79.95898266,7.69,14.85
2008,10,10/1/2008,151.8407152,74.08941669,6.73,15.93
2008,11,11/1/2008,154.281198,62.17514922,6.67,15.81
2008,12,12/1/2008,167.7857305,65.11683074,5.79,15.5
2009,1,1/1/2009,171.9251503,67.19685575,5.24,13.89
2009,2,2/1/2009,140.9157848,62.92283226,4.52,11.04
2009,3,3/1/2009,135.5303278,69.03721683,3.95,10.9
2009,4,4/1/2009,125.9349731,61.91654864,3.5,8.51
2009,5,5/1/2009,131.6730575,68.91832278,3.81,8.09
2009,6,6/1/2009,148.0867711,85.08096819,3.8,7.95
2009,7,7/1/2009,158.2338691,102.8600909,3.39,6.67
2009,8,8/1/2009,163.2604831,110.2512002,3.15,6.92
2009,9,9/1/2009,137.144648,93.1488878,2.96,7.13
2009,10,10/1/2009,139.9555774,73.5625133,4.02,7.6
2009,11,11/1/2009,136.8095752,64.19556402,3.69,7.81
2009,12,12/1/2009,166.4340356,72.51978633,5.37,8.01
2010,1,1/1/2010,173.3201609,75.08212728,5.81,8.8
2010,2,2/1/2010,153.0441591,67.02323576,5.34,8.8
2010,3,3/1/2010,144.4056332,64.44033493,4.29,8.93
2010,4,4/1/2010,126.9518853,65.58664998,4.01,7.52
2010,5,5/1/2010,143.2724936,74.6826518,4.16,7.27
2010,6,6/1/2010,165.4914889,93.23271433,4.79,7.74
2010,7,7/1/2010,179.6004991,115.587272,4.63,8.04
2010,8,8/1/2010,177.7453201,122.212178,4.31,8.45
2010,9,9/1/2010,148.7456717,93.95786801,3.9,8.28
2010,10,10/1/2010,132.2698351,78.54627197,3.43,8.29
2010,11,11/1/2010,135.1850454,70.133698,3.73,8.59
2010,12,12/1/2010,167.2580862,78.52501857,4.24,8.74
2011,1,1/1/2011,169.5274965,74.47932016,4.49,9.61
2011,2,2/1/2011,137.3711561,64.86165816,4.07,9.36
2011,3,3/1/2011,134.0040963,66.28137296,3.97,9.37
2011,4,4/1/2011,123.6485136,70.21656176,4.24,10.36
2011,5,5/1/2011,135.8180804,75.64234446,4.31,10.3
2011,6,6/1/2011,156.0156953,90.98947232,4.55,10.26
2011,7,7/1/2011,175.1970512,119.8038398,4.41,10.99
2011,8,8/1/2011,170.7215706,120.120288,4.05,10.81
2011,9,9/1/2011,140.1880716,91.68726763,3.9,10.85
2011,10,10/1/2011,125.9597288,78.76063388,3.57,11.42
2011,11,11/1/2011,121.0705788,75.69653867,3.24,11.32
2011,12,12/1/2011,129.6857454,86.16049982,3.16,11.53
2012,1,1/1/2012,129.0909901,91.77794476,2.68,11.45
2012,2,2/1/2012,113.872047,91.65450736,2.52,11.12
2012,3,3/1/2012,105.5255469,93.32722395,2.17,11.97
2012,4,4/1/2012,96.28544069,95.88886552,1.95,11.42
2012,5,5/1/2012,115.9826464,108.3571693,2.44,11.64
2012,6,6/1/2012,131.2610361,116.5716243,2.46,11.49
2012,7,7/1/2012,160.4502624,139.9061083,2.95,11.13
2012,8,8/1/2012,152.1810553,132.787167,2.84,11.18
2012,9,9/1/2012,125.5886082,108.9165524,2.84,11.08
2012,10,10/1/2012,120.9993388,92.62100816,3.32,11.58
2012,11,11/1/2012,128.7270658,81.04550766,3.54,11.83
2012,12,12/1/2012,134.0789078,84.95232387,3.34,11.79
2013,1,1/1/2013,138.264798,89.01141868,3.33,11.87
2013,2,2/1/2013,123.8276326,80.74976115,3.33,11.77
2013,3,3/1/2013,130.9611912,85.27044896,3.81,11.87
2013,4,4/1/2013,112.2320016,78.05399254,4.17,12.88
2013,5,5/1/2013,119.8981895,84.12235632,4.04,12.29
2013,6,6/1/2013,138.8212377,99.53290269,3.83,11.92
2013,7,7/1/2013,153.2802181,120.4242479,3.62,11.6
2013,8,8/1/2013,149.6975246,120.6253246,3.43,11.64
2013,9,9/1/2013,133.4951297,102.1398062,3.62,11.25
2013,10,10/1/2013,121.3288384,89.01594248,3.67,11.37
2013,11,11/1/2013,121.3517677,84.17477681,3.62,11.42
2013,12,12/1/2013,142.2489153,92.82546757,4.24,11.55
2014,1,1/1/2014,157.097,91.061,4.7,11.59
2014,2,2/1/2014,143.294,75.942,5.97,11.3
2014,3,3/1/2014,136.443,78.151,4.88,10.88
2014,4,4/1/2014,109.281,76.782,4.63,10.73
2014,5,5/1/2014,118.786,89.12,4.56,10.2
2014,6,6/1/2014,137.577,98.468,4.57,9.77
2014,7,7/1/2014,149.627,115.081,4.01,9.27
2014,8,8/1/2014,148.452,122.348,3.88,9.14
2014,9,9/1/2014,126.11,106.582,3.92,9.24
2014,10,10/1/2014,111.296,97.683,3.77,9.77
2014,11,11/1/2014,119.127,84.354,4.1,8.9
2014,12,12/1/2014,124.62,91.038,3.43,9.83
2015,1,1/1/2015,132.451,101.687,2.97,9.25
2015,2,2/1/2015,126.977,91.315,2.85,8.27
2015,3,3/1/2015,108.488,99.423,2.8,8.27
2015,4,4/1/2015,88.989,92.806,2.58,6.77
2015,5,5/1/2015,104.585,101.516,2.84,6.68
2015,6,6/1/2015,125.673,121.478,2.77,6.67
2015,7,7/1/2015,139.1,141.119,2.83,6.69
2015,8,8/1/2015,134.67,139.084,2.76,6.35
2015,9,9/1/2015,117.986,123.036,2.65,6.28
2015,10,10/1/2015,96.759,110.005,2.32,6.03
2015,11,11/1/2015,87.227,102.236,2.08,5.5
2015,12,12/1/2015,89.495,109.777,1.92,5.09
2016,1,1/1/2016,113.459,110.044,2.27,4.4
2016,2,2/1/2016,92.705,98.552,1.96,3.97
2016,3,3/1/2016,72.173,103.89,1.7,3.91
2016,4,4/1/2016,72.113,98.876,1.9,3.97
2016,5,5/1/2016,81.695,110.43,1.92,4.33
2016,6,6/1/2016,116.034,131.395,2.57,4.76
2016,7,7/1/2016,136.316,151.554,2.79,4.67
2016,8,8/1/2016,135.635,154.76,2.79,4.05
2016,9,9/1/2016,114.138,125.603,2.97,4.25
2016,10,10/1/2016,99.194,102.898,2.95,5.34
2016,11,11/1/2016,86.94,93.942,2.5,5.69
2016,12,12/1/2016,118.747,96.364,3.58,5.42
2017,1,1/1/2017,115.333,95.473,3.26,6.14
2017,2,2/1/2017,86.822,82.694,2.82,6.05
2017,3,3/1/2017,89.365,95.022,2.87,5
2017,4,4/1/2017,81.335,88.418,3.08,5.01
2017,5,5/1/2017,92.777,98.067,3.12,5.06
2017,6,6/1/2017,107.508,117.317,2.94,4.89
2017,7,7/1/2017,127.697,146.994,2.96,5
2017,8,8/1/2017,119.488,141.209,2.88,5.48
2017,9,9/1/2017,98.203,118.112,2.96,5.96
2017,10,10/1/2017,89.775,106.852,2.87,6.18
2017,11,11/1/2017,90.986,94.883,2.99,6.69
2017,12,12/1/2017,106.546,111.373,2.76,7.14
2018,1,1/1/2018,119.284,110.265,3.88,6.66
2018,2,2/1/2018,82.05,98.492,2.67,6.72
2018,3,3/1/2018,80.626,106.503,2.69,6.7
2018,4,4/1/2018,73.346,98.354,2.76,6.93
2018,5,5/1/2018,85.227,115.268,2.78,7.49
2018,6,6/1/2018,101.503,130.808,2.94,7.45
2018,7,7/1/2018,115.376,164.722,2.8,7.6
2018,8,8/1/2018,115.129,161.65,2.96,8.08
2018,9,9/1/2018,96.544,141.762,3,9.52
2018,10,10/1/2018,87.264,123.116,3.29,8.79
2018,11,11/1/2018,92.819,108.142,4.14,8.27
2018,12,12/1/2018,96.793,109.647,3.95,7.98
2019,1,1/1/2019,101.008,119.306,3.08,7.26
2019,2,2/1/2019,80.104,111.009,2.72,6.01
2019,3,3/1/2019,78.516,112.948,2.94,5.18
2019,4,4/1/2019,60.054,103.004,2.65,4.92
2019,5,5/1/2019,71.883,116.366,2.63,4.34
2019,6,6/1/2019,78.609,136.995,2.4,3.59
2019,7,7/1/2019,100.981,174.345,2.36,3.62
2019,8,8/1/2019,94.176,176.454,2.22,3.68
2019,9,9/1/2019,85.918,150.742,2.58,4.21
2019,10,10/1/2019,66.855,133.685,2.33,5.06
