date,month,year,intercn,co2mass,gasprice,load
1/1/2006,1,2006,EAST,4548660.434,9.3413134,6454708
1/1/2006,1,2006,ERCOT,452107.897,7.587534,616973.38
1/1/2006,1,2006,WECC,775122.679,7.8194442,1587397.1
1/2/2006,1,2006,EAST,4780283.053,9.3413134,6744459
1/2/2006,1,2006,ERCOT,480845.459,7.587534,639682.63
1/2/2006,1,2006,WECC,815630.708,7.8194442,1674578.1
1/3/2006,1,2006,EAST,5203013.291,9.7069626,7311067.5
1/3/2006,1,2006,ERCOT,504697.534,7.9165788,689520.81
1/3/2006,1,2006,WECC,886895.634,8.3570938,1784009.8
1/4/2006,1,2006,EAST,5281134.819,9.2032948,7412906
1/4/2006,1,2006,ERCOT,506793.571,7.6262279,678300.19
1/4/2006,1,2006,WECC,902670.81,7.8235712,1804198.4
1/5/2006,1,2006,EAST,5392328.705,9.2486582,7498369.5
1/5/2006,1,2006,ERCOT,514668,7.906661,698405.06
1/5/2006,1,2006,WECC,885776.793,8.0571852,1793748.1
1/6/2006,1,2006,EAST,5607188.021,9.0900459,7838470
1/6/2006,1,2006,ERCOT,532332.132,7.8020439,724867.31
1/6/2006,1,2006,WECC,872886.571,7.934618,1779844.6
1/7/2006,1,2006,EAST,5350078.137,9.0900459,7536357.5
1/7/2006,1,2006,ERCOT,503297.444,7.8020439,677958.69
1/7/2006,1,2006,WECC,799299.877,7.934618,1666423
1/8/2006,1,2006,EAST,4922790.206,9.0900459,6945477
1/8/2006,1,2006,ERCOT,460788.151,7.8020439,620231.13
1/8/2006,1,2006,WECC,809554.469,7.934618,1654098.5
1/9/2006,1,2006,EAST,5168949.078,8.6416359,7295408.5
1/9/2006,1,2006,ERCOT,493472.944,7.6368222,693221.38
1/9/2006,1,2006,WECC,885367.456,7.884851,1827636
1/10/2006,1,2006,EAST,5188420.014,8.4733162,7366429
1/10/2006,1,2006,ERCOT,514927.637,7.6492009,722332.5
1/10/2006,1,2006,WECC,867036.864,7.7836008,1823663.8
1/11/2006,1,2006,EAST,5132423.913,8.5183449,7330277.5
1/11/2006,1,2006,ERCOT,519360.905,7.8269939,739741.75
1/11/2006,1,2006,WECC,864954.247,7.9477682,1829307
1/12/2006,1,2006,EAST,5065140.187,8.6375437,7229175.5
1/12/2006,1,2006,ERCOT,487871.121,7.9295068,688319.63
1/12/2006,1,2006,WECC,876421.584,8.1840906,1839216
1/13/2006,1,2006,EAST,5051789.771,8.5444803,7225184.5
1/13/2006,1,2006,ERCOT,508123.371,7.7401218,688794.13
1/13/2006,1,2006,WECC,841450.069,7.8750029,1807743.9
1/14/2006,1,2006,EAST,5005502.682,8.5444803,7129371
1/14/2006,1,2006,ERCOT,503945.989,7.7401218,693357.44
1/14/2006,1,2006,WECC,799671.27,7.8750029,1695020.8
1/15/2006,1,2006,EAST,5062069.673,8.5444803,7185036.5
1/15/2006,1,2006,ERCOT,469986.525,7.7401218,635954.56
1/15/2006,1,2006,WECC,784201.944,7.8750029,1662416.1
1/16/2006,1,2006,EAST,5308716.941,8.5444803,7503638.5
1/16/2006,1,2006,ERCOT,479691.561,7.7401218,674898.69
1/16/2006,1,2006,WECC,827339.767,7.8750029,1846689.6
1/17/2006,1,2006,EAST,5407724.353,8.715538,7592742.5
1/17/2006,1,2006,ERCOT,530170.833,7.7156601,747610
1/17/2006,1,2006,WECC,865044.359,7.8986988,1873420.1
1/18/2006,1,2006,EAST,5508931.608,8.6975079,7750534
1/18/2006,1,2006,ERCOT,518956.02,7.7046828,757770.25
1/18/2006,1,2006,WECC,856616.2,7.9021888,1861197.9
1/19/2006,1,2006,EAST,5398889.378,8.1053553,7626292
1/19/2006,1,2006,ERCOT,490265.393,7.1461058,691240.38
1/19/2006,1,2006,WECC,868168.371,7.3571692,1861262.8
1/20/2006,1,2006,EAST,5067086.169,8.6605062,7235199.5
1/20/2006,1,2006,ERCOT,499653.271,7.6459188,684935.25
1/20/2006,1,2006,WECC,858619.083,7.8792968,1863063.6
1/21/2006,1,2006,EAST,4656395.193,8.6605062,6726732
1/21/2006,1,2006,ERCOT,499258.42,7.6459188,677751.19
1/21/2006,1,2006,WECC,817184.414,7.8792968,1751738.4
1/22/2006,1,2006,EAST,4741157.475,8.6605062,6817714.5
1/22/2006,1,2006,ERCOT,509020.451,7.6459188,701311.75
1/22/2006,1,2006,WECC,832026.998,7.8792968,1717174.8
1/23/2006,1,2006,EAST,5251895.863,8.1695328,7561548.5
1/23/2006,1,2006,ERCOT,539650.228,7.2545161,751960.81
1/23/2006,1,2006,WECC,890188.389,7.4939251,1849044.9
1/24/2006,1,2006,EAST,5210038.044,8.18606,7517225
1/24/2006,1,2006,ERCOT,535408.138,7.2966938,739429.75
1/24/2006,1,2006,WECC,890139.461,7.3904948,1832066.1
1/25/2006,1,2006,EAST,5397830.397,8.3704176,7675460.5
1/25/2006,1,2006,ERCOT,521183.6,7.3634419,721933.69
1/25/2006,1,2006,WECC,876146.292,7.4353638,1831464.5
1/26/2006,1,2006,EAST,5519836.867,7.698235,7883575
1/26/2006,1,2006,ERCOT,506324.673,6.7250161,717922.94
1/26/2006,1,2006,WECC,867786.731,6.7657552,1840170.9
1/27/2006,1,2006,EAST,5311457.861,8.034462,7624361
1/27/2006,1,2006,ERCOT,506374.909,7.064652,717908
1/27/2006,1,2006,WECC,862695.26,7.1642299,1828628
1/28/2006,1,2006,EAST,4699062.183,8.034462,6776145.5
1/28/2006,1,2006,ERCOT,466597.151,7.064652,644469.94
1/28/2006,1,2006,WECC,798439.766,7.1642299,1722530.9
1/29/2006,1,2006,EAST,4377918.229,8.034462,6435252
1/29/2006,1,2006,ERCOT,465280.544,7.064652,646317.13
1/29/2006,1,2006,WECC,806910.065,7.1642299,1671321.3
1/30/2006,1,2006,EAST,4969410.604,8.1798334,7181406
1/30/2006,1,2006,ERCOT,491949.247,7.384757,693739.69
1/30/2006,1,2006,WECC,853281.072,7.3509779,1811319
1/31/2006,1,2006,EAST,5196668.712,8.5908794,7488683
1/31/2006,1,2006,ERCOT,484417.432,7.7675929,709530.88
1/31/2006,1,2006,WECC,861095.358,7.6872001,1826694.3
2/1/2006,2,2006,EAST,5281532.958,8.5373983,7480861.5
2/1/2006,2,2006,ERCOT,468111.756,7.7168951,680466
2/1/2006,2,2006,WECC,863509.61,7.68856,1810264.1
2/2/2006,2,2006,EAST,5195331.594,7.8708,7320618.5
2/2/2006,2,2006,ERCOT,470902.966,7.1396742,682903
2/2/2006,2,2006,WECC,843378.037,6.8646231,1800945.5
2/3/2006,2,2006,EAST,4965498.737,7.9270802,7040895
2/3/2006,2,2006,ERCOT,465827.055,7.300436,680348.69
2/3/2006,2,2006,WECC,819797.78,6.8170152,1776890.9
2/4/2006,2,2006,EAST,4888371.471,7.9270802,6890477
2/4/2006,2,2006,ERCOT,477436.223,7.300436,671286.75
2/4/2006,2,2006,WECC,783439.491,6.8170152,1670761.5
2/5/2006,2,2006,EAST,5084608.195,7.9270802,7076854
