date,intercn,costratio,fit,lwr,upr,fit.transformed,lwr.transformed,upr.transformed
1/1/2006,EAST,0.220513552,5103748.968,5012832.208,5194665.729,0.015441739,-0.002647057,0.033530535
1/1/2006,ERCOT,0.219752913,587032.3036,579152.7865,594911.8206,0.010146128,-0.003412689,0.023704945
1/1/2006,WECC,0.208444393,880353.8121,872760.2747,887947.3495,0.007405264,-0.001284162,0.01609469
1/2/2006,EAST,0.220513552,5103748.968,5012832.208,5194665.729,0.015441739,-0.002647057,0.033530535
1/2/2006,ERCOT,0.219752913,587032.3036,579152.7865,594911.8206,0.010146128,-0.003412689,0.023704945
1/2/2006,WECC,0.208444393,880353.8121,872760.2747,887947.3495,0.007405264,-0.001284162,0.01609469
1/3/2006,EAST,0.212207081,5108402.306,4998127.087,5218677.525,0.016367567,-0.005572788,0.038307921
1/3/2006,ERCOT,0.2106191,588796.0382,579508.3361,598083.7403,0.013181105,-0.002800871,0.029163081
1/3/2006,WECC,0.195034224,882464.1469,873372.1178,891556.176,0.009820159,-0.000584019,0.020224338
1/4/2006,EAST,0.223820517,5101917.414,5018096.43,5185738.398,0.015077333,-0.001599688,0.031754353
1/4/2006,ERCOT,0.218637932,587240.5647,579214.0274,595267.102,0.010504497,-0.003307308,0.024316301
1/4/2006,WECC,0.208334437,880370.0909,872773.319,887966.8628,0.007423892,-0.001269236,0.01611702
1/5/2006,EAST,0.222722708,5102524.034,5016390.684,5188657.384,0.015198026,-0.001939063,0.032335114
1/5/2006,ERCOT,0.210883292,588743.2693,579502.4555,597984.083,0.013090302,-0.00281099,0.028991594
1/5/2006,WECC,0.202293885,881291.4761,873293.6204,889289.3318,0.00847825,-0.000673845,0.017630346
1/6/2006,EAST,0.226608999,5100383.011,5022228.367,5178537.655,0.014772048,-0.000777598,0.030321693
1/6/2006,ERCOT,0.213711012,588184.7447,579423.9211,596945.5683,0.012129211,-0.00294613,0.027204552
1/6/2006,WECC,0.205418749,880808.2949,873074.2002,888542.3896,0.007925337,-0.000924932,0.016775606
1/7/2006,EAST,0.226608999,5100383.011,5022228.367,5178537.655,0.014772048,-0.000777598,0.030321693
1/7/2006,ERCOT,0.213711012,588184.7447,579423.9211,596945.5683,0.012129211,-0.00294613,0.027204552
1/7/2006,WECC,0.205418749,880808.2949,873074.2002,888542.3896,0.007925337,-0.000924932,0.016775606
1/8/2006,EAST,0.226608999,5100383.011,5022228.367,5178537.655,0.014772048,-0.000777598,0.030321693
1/8/2006,ERCOT,0.213711012,588184.7447,579423.9211,596945.5683,0.012129211,-0.00294613,0.027204552
1/8/2006,WECC,0.205418749,880808.2949,873074.2002,888542.3896,0.007925337,-0.000924932,0.016775606
1/9/2006,EAST,0.238367622,5094021.724,5035794.066,5152249.382,0.013506406,0.001921433,0.02509138
1/9/2006,ERCOT,0.218334624,587297.5735,579229.7844,595365.3626,0.010602595,-0.003280194,0.024485385
1/9/2006,WECC,0.206715295,880611.8925,872951.372,888272.413,0.00770059,-0.001065486,0.016466666
1/10/2006,EAST,0.243102718,5091514.092,5039038.864,5143989.319,0.013007488,0.002567018,0.023447958
1/10/2006,ERCOT,0.217981293,587364.1741,579247.6581,595480.6901,0.0107172,-0.003249438,0.024683837
1/10/2006,WECC,0.209404277,880212.48,872641.4785,887783.4815,0.007243535,-0.001420103,0.015907173
1/11/2006,EAST,0.241817656,5092191.386,5038305.714,5146077.058,0.013142243,0.002421151,0.023863334
