date,intercn,co2mass,gasprice,coalprice
1/1/2006,EAST,4548660.434,9.3413134,2.0598862
1/1/2006,ERCOT,452107.897,7.587534,1.6673827
1/1/2006,WECC,775122.679,7.8194442,1.6299193
1/2/2006,EAST,4780283.053,9.3413134,2.0598862
1/2/2006,ERCOT,480845.459,7.587534,1.6673827
1/2/2006,WECC,815630.708,7.8194442,1.6299193
1/3/2006,EAST,5203013.291,9.7069626,2.0598862
1/3/2006,ERCOT,504697.534,7.9165788,1.6673827
1/3/2006,WECC,886895.634,8.3570938,1.6299193
1/4/2006,EAST,5281134.819,9.2032948,2.0598862
1/4/2006,ERCOT,506793.571,7.6262279,1.6673827
1/4/2006,WECC,902670.81,7.8235712,1.6299193
1/5/2006,EAST,5392328.705,9.2486582,2.0598862
1/5/2006,ERCOT,514668,7.906661,1.6673827
1/5/2006,WECC,885776.793,8.0571852,1.6299193
1/6/2006,EAST,5607188.021,9.0900459,2.0598862
1/6/2006,ERCOT,532332.132,7.8020439,1.6673827
1/6/2006,WECC,872886.571,7.934618,1.6299193
1/7/2006,EAST,5350078.137,9.0900459,2.0598862
1/7/2006,ERCOT,503297.444,7.8020439,1.6673827
1/7/2006,WECC,799299.877,7.934618,1.6299193
1/8/2006,EAST,4922790.206,9.0900459,2.0598862
1/8/2006,ERCOT,460788.151,7.8020439,1.6673827
1/8/2006,WECC,809554.469,7.934618,1.6299193
1/9/2006,EAST,5168949.078,8.6416359,2.0598862
1/9/2006,ERCOT,493472.944,7.6368222,1.6673827
1/9/2006,WECC,885367.456,7.884851,1.6299193
1/10/2006,EAST,5188420.014,8.4733162,2.0598862
1/10/2006,ERCOT,514927.637,7.6492009,1.6673827
1/10/2006,WECC,867036.864,7.7836008,1.6299193
1/11/2006,EAST,5132423.913,8.5183449,2.0598862
1/11/2006,ERCOT,519360.905,7.8269939,1.6673827
1/11/2006,WECC,864954.247,7.9477682,1.6299193
1/12/2006,EAST,5065140.187,8.6375437,2.0598862
1/12/2006,ERCOT,487871.121,7.9295068,1.6673827
1/12/2006,WECC,876421.584,8.1840906,1.6299193
1/13/2006,EAST,5051789.771,8.5444803,2.0598862
1/13/2006,ERCOT,508123.371,7.7401218,1.6673827
1/13/2006,WECC,841450.069,7.8750029,1.6299193
1/14/2006,EAST,5005502.682,8.5444803,2.0598862
1/14/2006,ERCOT,503945.989,7.7401218,1.6673827
1/14/2006,WECC,799671.27,7.8750029,1.6299193
1/15/2006,EAST,5062069.673,8.5444803,2.0598862
1/15/2006,ERCOT,469986.525,7.7401218,1.6673827
1/15/2006,WECC,784201.944,7.8750029,1.6299193
1/16/2006,EAST,5308716.941,8.5444803,2.0598862
1/16/2006,ERCOT,479691.561,7.7401218,1.6673827
1/16/2006,WECC,827339.767,7.8750029,1.6299193
1/17/2006,EAST,5407724.353,8.715538,2.0598862
1/17/2006,ERCOT,530170.833,7.7156601,1.6673827
1/17/2006,WECC,865044.359,7.8986988,1.6299193
1/18/2006,EAST,5508931.608,8.6975079,2.0598862
1/18/2006,ERCOT,518956.02,7.7046828,1.6673827
1/18/2006,WECC,856616.2,7.9021888,1.6299193
1/19/2006,EAST,5398889.378,8.1053553,2.0598862
1/19/2006,ERCOT,490265.393,7.1461058,1.6673827
1/19/2006,WECC,868168.371,7.3571692,1.6299193
1/20/2006,EAST,5067086.169,8.6605062,2.0598862
1/20/2006,ERCOT,499653.271,7.6459188,1.6673827
1/20/2006,WECC,858619.083,7.8792968,1.6299193
1/21/2006,EAST,4656395.193,8.6605062,2.0598862
1/21/2006,ERCOT,499258.42,7.6459188,1.6673827
1/21/2006,WECC,817184.414,7.8792968,1.6299193
1/22/2006,EAST,4741157.475,8.6605062,2.0598862
1/22/2006,ERCOT,509020.451,7.6459188,1.6673827
1/22/2006,WECC,832026.998,7.8792968,1.6299193
1/23/2006,EAST,5251895.863,8.1695328,2.0598862
1/23/2006,ERCOT,539650.228,7.2545161,1.6673827
1/23/2006,WECC,890188.389,7.4939251,1.6299193
1/24/2006,EAST,5210038.044,8.18606,2.0598862
1/24/2006,ERCOT,535408.138,7.2966938,1.6673827
1/24/2006,WECC,890139.461,7.3904948,1.6299193
1/25/2006,EAST,5397830.397,8.3704176,2.0598862
1/25/2006,ERCOT,521183.6,7.3634419,1.6673827
1/25/2006,WECC,876146.292,7.4353638,1.6299193
1/26/2006,EAST,5519836.867,7.698235,2.0598862
1/26/2006,ERCOT,506324.673,6.7250161,1.6673827
1/26/2006,WECC,867786.731,6.7657552,1.6299193
1/27/2006,EAST,5311457.861,8.034462,2.0598862
