date,intercn,so2mass,co2mass,noxmass,gload,gasprice,coalprice,national_coalprice,tlsd,tlmin,tlmax,load,coal,ng,nuc,other,renew,wat,allrenew,nonfossil,meant,hdd,cdd,imports,exports,netNSflow,so2price
1/1/2006,EAST,40131443.43,4548660.434,16606703.9,4565006,9.3413134,2.0598862,2.0091271,18396.854,241122.34,302880.47,6454708,135836471,22668061,62788312,12191547,4328905,8122592,12451497,75239808,41.659996,23.596516,0.25651017,885915.1055,3504038.273,2618123.3,1513.86
1/1/2006,ERCOT,2397679.714,452107.897,570620.31,497771,7.587534,1.6673827,2.0091271,2818.4385,21748.789,30423.369,616973.38,10238570,9091499,3674767,198161,558953,45251,604204,4278971,63.464699,2.2622988,0.72699773,0,0,0,1513.86
1/1/2006,WECC,1499839.03,775122.679,2460562.526,828701,7.8194442,1.6299193,2.0091271,6752.5195,56996.008,78514.234,1587397.1,18186152,12826778,5448453,355870,2837854,18629544,21467398,26915852,46.789532,18.21047,0,1407150,236886.1421,-1170263.9,1513.86
1/2/2006,EAST,43504762.41,4780283.053,17366337.87,4828737,9.3413134,2.0598862,2.0091271,33504.215,228490.17,328243.81,6744459,135836471,22668061,62788312,12191547,4328905,8122592,12451497,75239808,45.385899,20.243881,0.62978154,885915.1055,3504038.273,2618123.3,1513.86
1/2/2006,ERCOT,2531992.516,480845.459,607057.366,535001,7.587534,1.6673827,2.0091271,3321.449,21348.221,31582.301,639682.63,10238570,9091499,3674767,198161,558953,45251,604204,4278971,63.910549,2.0877504,0.99829918,0,0,0,1513.86
1/2/2006,WECC,1587942.021,815630.708,2609054.221,882314,7.8194442,1.6299193,2.0091271,8666.6777,56465.191,83607.836,1674578.1,18186152,12826778,5448453,355870,2837854,18629544,21467398,26915852,46.777065,18.222935,0,1407150,236886.1421,-1170263.9,1513.86
1/3/2006,EAST,48449645.94,5203013.291,19118959.73,5317110,9.7069626,2.0598862,2.0091271,38048.355,238010.33,350932.91,7311067.5,135836471,22668061,62788312,12191547,4328905,8122592,12451497,75239808,45.008759,20.526051,0.53480911,885915.1055,3504038.273,2618123.3,1513.86
1/3/2006,ERCOT,2618368.533,504697.534,625491.374,568101,7.9165788,1.6673827,2.0091271,3653.4729,22319.01,33202.75,689520.81,10238570,9091499,3674767,198161,558953,45251,604204,4278971,60.799812,4.4933801,0.29319355,0,0,0,1513.86
1/3/2006,WECC,1592336.277,886895.634,2690218.544,996527,8.3570938,1.6299193,2.0091271,9643.0059,57338.738,87890.656,1784009.8,18186152,12826778,5448453,355870,2837854,18629544,21467398,26915852,45.505367,19.494633,0,1407150,236886.1421,-1170263.9,1513.86
1/4/2006,EAST,49081397.73,5281134.819,19612719.39,5405789,9.2032948,2.0598862,2.0091271,30518.82,254415.53,348519.78,7412906,135836471,22668061,62788312,12191547,4328905,8122592,12451497,75239808,42.606541,22.497303,0.1038431,885915.1055,3504038.273,2618123.3,1513.86
1/4/2006,ERCOT,2558385.273,506793.571,632413.356,561473,7.6262279,1.6673827,2.0091271,3541.4409,22010.24,33156.449,678300.19,10238570,9091499,3674767,198161,558953,45251,604204,4278971,61.736237,3.8354447,0.57167977,0,0,0,1513.86
1/4/2006,WECC,1584384.932,902670.81,2713850.692,1025753,7.8235712,1.6299193,2.0091271,8322.3516,60632.383,87271.977,1804198.4,18186152,12826778,5448453,355870,2837854,18629544,21467398,26915852,46.480415,18.519703,0.000117044,1407150,236886.1421,-1170263.9,1513.86
1/5/2006,EAST,50630285.07,5392328.705,19963014.63,5515888,9.2486582,2.0598862,2.0091271,32880.992,253628.52,356003.47,7498369.5,135836471,22668061,62788312,12191547,4328905,8122592,12451497,75239808,42.47427,22.552942,0.027210701,885915.1055,3504038.273,2618123.3,1513.86
1/5/2006,ERCOT,2588733.457,514668,651221.761,562219,7.906661,1.6673827,2.0091271,3120.0835,23373.961,32946.141,698405.06,10238570,9091499,3674767,198161,558953,45251,604204,4278971,56.718723,8.4977798,0.21650235,0,0,0,1513.86
1/5/2006,WECC,1600261.276,885776.793,2676506.682,1007371,8.0571852,1.6299193,2.0091271,8183.436,60487.035,86343.609,1793748.1,18186152,12826778,5448453,355870,2837854,18629544,21467398,26915852,48.882534,16.189116,0.071648233,1407150,236886.1421,-1170263.9,1513.86
1/6/2006,EAST,53142201.03,5607188.021,20950663.65,5805001,9.0900459,2.0598862,2.0091271,32976.723,266976.16,364640.31,7838470,135836471,22668061,62788312,12191547,4328905,8122592,12451497,75239808,37.443077,27.556923,0,885915.1055,3504038.273,2618123.3,1513.86
1/6/2006,ERCOT,2738912.704,532332.132,675662.854,592193,7.8020439,1.6673827,2.0091271,2852.1152,25332.51,35449.371,724867.31,10238570,9091499,3674767,198161,558953,45251,604204,4278971,52.037987,12.962012,0,0,0,0,1513.86
1/6/2006,WECC,1617630.015,872886.571,2681068.977,985706,7.934618,1.6299193,2.0091271,8106.0923,59794.59,84627.922,1779844.6,18186152,12826778,5448453,355870,2837854,18629544,21467398,26915852,50.472843,14.597317,0.070158072,1407150,236886.1421,-1170263.9,1513.86
1/7/2006,EAST,49988409.5,5350078.137,19717077.96,5552353,9.0900459,2.0598862,2.0091271,17953.281,287717.97,340931.41,7536357.5,135836471,22668061,62788312,12191547,4328905,8122592,12451497,75239808,33.311386,31.688614,0,885915.1055,3504038.273,2618123.3,1513.86
1/7/2006,ERCOT,2754958.161,503297.444,649958.044,554091,7.8020439,1.6673827,2.0091271,1799.5831,24795.471,31753.9,677958.69,10238570,9091499,3674767,198161,558953,45251,604204,4278971,53.045784,11.954214,0,0,0,0,1513.86
1/7/2006,WECC,1451899.426,799299.877,2497125.494,893351,7.934618,1.6299193,2.0091271,6500.7686,59143.398,80441.352,1666423,18186152,12826778,5448453,355870,2837854,18629544,21467398,26915852,49.696606,15.303392,0,1407150,236886.1421,-1170263.9,1513.86
1/8/2006,EAST,45698503.83,4922790.206,17910424.55,5032761,9.0900459,2.0598862,2.0091271,15775.052,269119.81,319131.19,6945477,135836471,22668061,62788312,12191547,4328905,8122592,12451497,75239808,38.82555,26.17445,0,885915.1055,3504038.273,2618123.3,1513.86
1/8/2006,ERCOT,2632892.385,460788.151,614917.076,504873,7.8020439,1.6673827,2.0091271,2383.4072,22210.289,30155.779,620231.13,10238570,9091499,3674767,198161,558953,45251,604204,4278971,60.051151,4.9495816,0.000734444,0,0,0,1513.86
1/8/2006,WECC,1458306.585,809554.469,2519015.668,897398,7.934618,1.6299193,2.0091271,7163.9204,58767.898,82423.164,1654098.5,18186152,12826778,5448453,355870,2837854,18629544,21467398,26915852,46.769276,18.230726,0,1407150,236886.1421,-1170263.9,1513.86
1/9/2006,EAST,47742357.8,5168949.078,18749962.46,5278060,8.6416359,2.0598862,2.0091271,32549.59,246442.63,344004.78,7295408.5,135836471,22668061,62788312,12191547,4328905,8122592,12451497,75239808,44.635689,20.364498,0.000184887,885915.1055,3504038.273,2618123.3,1513.86
1/9/2006,ERCOT,2596079.226,493472.944,643015.54,546242,7.6368222,1.6673827,2.0091271,3856.7219,21936.23,33605.262,693221.38,10238570,9091499,3674767,198161,558953,45251,604204,4278971,61.1525,4.1187739,0.27127308,0,0,0,1513.86
1/9/2006,WECC,1497564.529,885367.456,2597686.125,1024903,7.884851,1.6299193,2.0091271,9160.4424,59927.965,88548.914,1827636,18186152,12826778,5448453,355870,2837854,18629544,21467398,26915852,45.38501,19.614992,0,1407150,236886.1421,-1170263.9,1513.86
1/10/2006,EAST,48295134.55,5188420.014,19017496.77,5325809,8.4733162,2.0598862,2.0091271,31271.725,251972.2,346713.5,7366429,135836471,22668061,62788312,12191547,4328905,8122592,12451497,75239808,43.463497,21.626198,0.089695022,885915.1055,3504038.273,2618123.3,1513.86
1/10/2006,ERCOT,2627743.308,514927.637,656899.993,585241,7.6492009,1.6673827,2.0091271,3436.6641,23967.301,34182.23,722332.5,10238570,9091499,3674767,198161,558953,45251,604204,4278971,54.567581,10.496451,0.064031065,0,0,0,1513.86
1/10/2006,WECC,1496901.365,867036.864,2549999.989,1003323,7.7836008,1.6299193,2.0091271,8269.2803,61511.164,87505.445,1823663.8,18186152,12826778,5448453,355870,2837854,18629544,21467398,26915852,45.46104,19.53896,0,1407150,236886.1421,-1170263.9,1513.86
1/11/2006,EAST,47180184.76,5132423.913,18872831.91,5293847,8.5183449,2.0598862,2.0091271,30385.322,251678.14,342853.19,7330277.5,135836471,22668061,62788312,12191547,4328905,8122592,12451497,75239808,44.391518,20.817217,0.20873438,885915.1055,3504038.273,2618123.3,1513.86
1/11/2006,ERCOT,2704376.849,519360.905,659674.307,585789,7.8269939,1.6673827,2.0091271,2976.4097,25767.91,37538.672,739741.75,10238570,9091499,3674767,198161,558953,45251,604204,4278971,50.089458,14.910543,0,0,0,0,1513.86
1/11/2006,WECC,1580753.657,864954.247,2560599.702,998436,7.9477682,1.6299193,2.0091271,8517.3057,61183.457,88261.375,1829307,18186152,12826778,5448453,355870,2837854,18629544,21467398,26915852,46.360271,18.639729,0,1407150,236886.1421,-1170263.9,1513.86
1/12/2006,EAST,46110365.78,5065140.187,18571724.23,5206472,8.6375437,2.0598862,2.0091271,28336.613,251454.98,336246.63,7229175.5,135836471,22668061,62788312,12191547,4328905,8122592,12451497,75239808,47.284294,17.956844,0.24113728,885915.1055,3504038.273,2618123.3,1513.86
1/12/2006,ERCOT,2679776.601,487871.121,623534.691,546015,7.9295068,1.6673827,2.0091271,3145.2588,23126.42,32564.6,688319.63,10238570,9091499,3674767,198161,558953,45251,604204,4278971,58.001568,7.1160131,0.11758009,0,0,0,1513.86
1/12/2006,WECC,1656366.889,876421.584,2651321.814,1003090,8.1840906,1.6299193,2.0091271,8287.7109,62045.199,88193.844,1839216,18186152,12826778,5448453,355870,2837854,18629544,21467398,26915852,45.862225,19.137777,0,1407150,236886.1421,-1170263.9,1513.86
1/13/2006,EAST,45625045.22,5051789.771,18440540.66,5189155,8.5444803,2.0598862,2.0091271,31548.842,243761.08,334961.53,7225184.5,135836471,22668061,62788312,12191547,4328905,8122592,12451497,75239808,47.473686,17.841066,0.31475458,885915.1055,3504038.273,2618123.3,1513.86
1/13/2006,ERCOT,2700596.742,508123.371,669040.869,561151,7.7401218,1.6673827,2.0091271,3137.6248,22814.199,32031.84,688794.13,10238570,9091499,3674767,198161,558953,45251,604204,4278971,57.141804,7.928544,0.070347704,0,0,0,1513.86
1/13/2006,WECC,1567807.142,841450.069,2605108.326,958778,7.8750029,1.6299193,2.0091271,7569.103,61745.875,84487.227,1807743.9,18186152,12826778,5448453,355870,2837854,18629544,21467398,26915852,46.287132,18.71287,0,1407150,236886.1421,-1170263.9,1513.86
1/14/2006,EAST,45372044.31,5005502.682,18505500.55,5111834,8.5444803,2.0598862,2.0091271,27149.092,251759.73,333608.97,7129371,135836471,22668061,62788312,12191547,4328905,8122592,12451497,75239808,43.003517,22.078514,0.082030542,885915.1055,3504038.273,2618123.3,1513.86
1/14/2006,ERCOT,2712027.22,503945.989,663609.62,556401,7.7401218,1.6673827,2.0091271,2147.3425,25973.85,33496.672,693357.44,10238570,9091499,3674767,198161,558953,45251,604204,4278971,49.306553,15.693447,0,0,0,0,1513.86
1/14/2006,WECC,1543169.069,799671.27,2595465.255,883473,7.8750029,1.6299193,2.0091271,6732.5396,59783.723,81016.602,1695020.8,18186152,12826778,5448453,355870,2837854,18629544,21467398,26915852,46.816967,18.183033,0,1407150,236886.1421,-1170263.9,1513.86
1/15/2006,EAST,46086562.39,5062069.673,18597395.34,5176179,8.5444803,2.0598862,2.0091271,17669.844,273342.31,329101.84,7185036.5,135836471,22668061,62788312,12191547,4328905,8122592,12451497,75239808,35.650673,29.349327,0,885915.1055,3504038.273,2618123.3,1513.86
1/15/2006,ERCOT,2675608.223,469986.525,613609,511787,7.7401218,1.6673827,2.0091271,1857.2233,23555.99,29846.221,635954.56,10238570,9091499,3674767,198161,558953,45251,604204,4278971,54.163994,10.836006,0,0,0,0,1513.86
1/15/2006,WECC,1483328.288,784201.944,2476916.871,841291,7.8750029,1.6299193,2.0091271,7031.4404,58995.438,82458.859,1662416.1,18186152,12826778,5448453,355870,2837854,18629544,21467398,26915852,43.139179,21.860821,0,1407150,236886.1421,-1170263.9,1513.86
1/16/2006,EAST,48744002.87,5308716.941,19487149.13,5502819,8.5444803,2.0598862,2.0091271,28247.309,265187.56,350212.06,7503638.5,135836471,22668061,62788312,12191547,4328905,8122592,12451497,75239808,36.150246,28.849783,2.86E-05,885915.1055,3504038.273,2618123.3,1513.86
1/16/2006,ERCOT,2724213.019,479691.561,624999.234,531574,7.7401218,1.6673827,2.0091271,3714.6296,21807.9,32932.191,674898.69,10238570,9091499,3674767,198161,558953,45251,604204,4278971,59.77438,5.4721336,0.24651207,0,0,0,1513.86
1/16/2006,WECC,1523462.091,827339.767,2529467.662,930688,7.8750029,1.6299193,2.0091271,8934.001,61634.875,89797.93,1846689.6,18186152,12826778,5448453,355870,2837854,18629544,21467398,26915852,40.390999,24.609001,0,1407150,236886.1421,-1170263.9,1513.86
1/17/2006,EAST,49183033.37,5407724.353,19982882.44,5612671,8.715538,2.0598862,2.0091271,33391.664,256847,358638.16,7592742.5,135836471,22668061,62788312,12191547,4328905,8122592,12451497,75239808,39.560123,25.444763,0.004886077,885915.1055,3504038.273,2618123.3,1513.86
1/17/2006,ERCOT,2680053.835,530170.833,672937.761,598549,7.7156601,1.6673827,2.0091271,3968.4299,23957.43,36054.488,747610,10238570,9091499,3674767,198161,558953,45251,604204,4278971,52.451775,12.566388,0.018163236,0,0,0,1513.86
1/17/2006,WECC,1585809.622,865044.359,2606428.271,989330,7.8986988,1.6299193,2.0091271,8276.7451,63601.246,89862.172,1873420.1,18186152,12826778,5448453,355870,2837854,18629544,21467398,26915852,41.937897,23.062101,0,1407150,236886.1421,-1170263.9,1513.86
1/18/2006,EAST,50343231.68,5508931.608,20386269.61,5698457,8.6975079,2.0598862,2.0091271,31995.025,266248.25,364576.72,7750534,135836471,22668061,62788312,12191547,4328905,8122592,12451497,75239808,40.801533,24.262775,0.064309828,885915.1055,3504038.273,2618123.3,1513.86
1/18/2006,ERCOT,2441955.711,518956.02,589510.396,593932,7.7046828,1.6673827,2.0091271,2955.5994,26025.961,38603.969,757770.25,10238570,9091499,3674767,198161,558953,45251,604204,4278971,49.039787,15.960215,0,0,0,0,1513.86
1/18/2006,WECC,1610734.242,856616.2,2572547.374,969445,7.9021888,1.6299193,2.0091271,8422.8691,62795.707,89705.766,1861197.9,18186152,12826778,5448453,355870,2837854,18629544,21467398,26915852,43.96022,21.039782,0,1407150,236886.1421,-1170263.9,1513.86
1/19/2006,EAST,49292837.85,5398889.378,20011029.89,5562633,8.1053553,2.0598862,2.0091271,24396.701,281224.28,359060.94,7626292,135836471,22668061,62788312,12191547,4328905,8122592,12451497,75239808,40.756275,24.243725,0,885915.1055,3504038.273,2618123.3,1513.86
1/19/2006,ERCOT,2513725.364,490265.393,578477.176,548228,7.1461058,1.6673827,2.0091271,3052.8037,23495.76,32577.17,691240.38,10238570,9091499,3674767,198161,558953,45251,604204,4278971,58.759716,6.3401065,0.099821672,0,0,0,1513.86
1/19/2006,WECC,1639151.322,868168.371,2601649.409,985574,7.3571692,1.6299193,2.0091271,8502.0039,62477.254,89807.156,1861262.8,18186152,12826778,5448453,355870,2837854,18629544,21467398,26915852,42.71011,22.289888,0,1407150,236886.1421,-1170263.9,1513.86
1/20/2006,EAST,45392397.38,5067086.169,18569095.27,5178711,8.6605062,2.0598862,2.0091271,25717.691,256284.86,333921.59,7235199.5,135836471,22668061,62788312,12191547,4328905,8122592,12451497,75239808,46.256805,18.857105,0.11391205,885915.1055,3504038.273,2618123.3,1513.86
1/20/2006,ERCOT,2636874.923,499653.271,607563.86,553698,7.6459188,1.6673827,2.0091271,3264.3743,22595.93,31992,684935.25,10238570,9091499,3674767,198161,558953,45251,604204,4278971,63.151592,2.8043661,0.95595974,0,0,0,1513.86
1/20/2006,WECC,1615015.342,858619.083,2555403.891,984528,7.8792968,1.6299193,2.0091271,7363.1621,64215.645,86693.242,1863063.6,18186152,12826778,5448453,355870,2837854,18629544,21467398,26915852,39.759293,25.240707,0,1407150,236886.1421,-1170263.9,1513.86
