date,intercn,co2mass,gasprice,coalprice,tlsd,tlmin,tlmax,load,nonfossil,meant,netNSflow,so2price
1/1/2006,EAST,4548660.434,9.3413134,2.0598862,18396.854,241122.34,302880.47,6454708,75239808,41.659996,2618123.3,1513.86
1/1/2006,ERCOT,452107.897,7.587534,1.6673827,2818.4385,21748.789,30423.369,616973.38,4278971,63.464699,0,1513.86
1/1/2006,WECC,775122.679,7.8194442,1.6299193,6752.5195,56996.008,78514.234,1587397.1,26915852,46.789532,-1170263.9,1513.86
1/2/2006,EAST,4780283.053,9.3413134,2.0598862,33504.215,228490.17,328243.81,6744459,75239808,45.385899,2618123.3,1513.86
1/2/2006,ERCOT,480845.459,7.587534,1.6673827,3321.449,21348.221,31582.301,639682.63,4278971,63.910549,0,1513.86
1/2/2006,WECC,815630.708,7.8194442,1.6299193,8666.6777,56465.191,83607.836,1674578.1,26915852,46.777065,-1170263.9,1513.86
1/3/2006,EAST,5203013.291,9.7069626,2.0598862,38048.355,238010.33,350932.91,7311067.5,75239808,45.008759,2618123.3,1513.86
1/3/2006,ERCOT,504697.534,7.9165788,1.6673827,3653.4729,22319.01,33202.75,689520.81,4278971,60.799812,0,1513.86
1/3/2006,WECC,886895.634,8.3570938,1.6299193,9643.0059,57338.738,87890.656,1784009.8,26915852,45.505367,-1170263.9,1513.86
1/4/2006,EAST,5281134.819,9.2032948,2.0598862,30518.82,254415.53,348519.78,7412906,75239808,42.606541,2618123.3,1513.86
1/4/2006,ERCOT,506793.571,7.6262279,1.6673827,3541.4409,22010.24,33156.449,678300.19,4278971,61.736237,0,1513.86
1/4/2006,WECC,902670.81,7.8235712,1.6299193,8322.3516,60632.383,87271.977,1804198.4,26915852,46.480415,-1170263.9,1513.86
1/5/2006,EAST,5392328.705,9.2486582,2.0598862,32880.992,253628.52,356003.47,7498369.5,75239808,42.47427,2618123.3,1513.86
1/5/2006,ERCOT,514668,7.906661,1.6673827,3120.0835,23373.961,32946.141,698405.06,4278971,56.718723,0,1513.86
1/5/2006,WECC,885776.793,8.0571852,1.6299193,8183.436,60487.035,86343.609,1793748.1,26915852,48.882534,-1170263.9,1513.86
1/6/2006,EAST,5607188.021,9.0900459,2.0598862,32976.723,266976.16,364640.31,7838470,75239808,37.443077,2618123.3,1513.86
1/6/2006,ERCOT,532332.132,7.8020439,1.6673827,2852.1152,25332.51,35449.371,724867.31,4278971,52.037987,0,1513.86
1/6/2006,WECC,872886.571,7.934618,1.6299193,8106.0923,59794.59,84627.922,1779844.6,26915852,50.472843,-1170263.9,1513.86
1/7/2006,EAST,5350078.137,9.0900459,2.0598862,17953.281,287717.97,340931.41,7536357.5,75239808,33.311386,2618123.3,1513.86
1/7/2006,ERCOT,503297.444,7.8020439,1.6673827,1799.5831,24795.471,31753.9,677958.69,4278971,53.045784,0,1513.86
1/7/2006,WECC,799299.877,7.934618,1.6299193,6500.7686,59143.398,80441.352,1666423,26915852,49.696606,-1170263.9,1513.86
1/8/2006,EAST,4922790.206,9.0900459,2.0598862,15775.052,269119.81,319131.19,6945477,75239808,38.82555,2618123.3,1513.86
1/8/2006,ERCOT,460788.151,7.8020439,1.6673827,2383.4072,22210.289,30155.779,620231.13,4278971,60.051151,0,1513.86
1/8/2006,WECC,809554.469,7.934618,1.6299193,7163.9204,58767.898,82423.164,1654098.5,26915852,46.769276,-1170263.9,1513.86
1/9/2006,EAST,5168949.078,8.6416359,2.0598862,32549.59,246442.63,344004.78,7295408.5,75239808,44.635689,2618123.3,1513.86
1/9/2006,ERCOT,493472.944,7.6368222,1.6673827,3856.7219,21936.23,33605.262,693221.38,4278971,61.1525,0,1513.86
1/9/2006,WECC,885367.456,7.884851,1.6299193,9160.4424,59927.965,88548.914,1827636,26915852,45.38501,-1170263.9,1513.86
1/10/2006,EAST,5188420.014,8.4733162,2.0598862,31271.725,251972.2,346713.5,7366429,75239808,43.463497,2618123.3,1513.86
1/10/2006,ERCOT,514927.637,7.6492009,1.6673827,3436.6641,23967.301,34182.23,722332.5,4278971,54.567581,0,1513.86
1/10/2006,WECC,867036.864,7.7836008,1.6299193,8269.2803,61511.164,87505.445,1823663.8,26915852,45.46104,-1170263.9,1513.86
1/11/2006,EAST,5132423.913,8.5183449,2.0598862,30385.322,251678.14,342853.19,7330277.5,75239808,44.391518,2618123.3,1513.86
1/11/2006,ERCOT,519360.905,7.8269939,1.6673827,2976.4097,25767.91,37538.672,739741.75,4278971,50.089458,0,1513.86
1/11/2006,WECC,864954.247,7.9477682,1.6299193,8517.3057,61183.457,88261.375,1829307,26915852,46.360271,-1170263.9,1513.86
1/12/2006,EAST,5065140.187,8.6375437,2.0598862,28336.613,251454.98,336246.63,7229175.5,75239808,47.284294,2618123.3,1513.86
1/12/2006,ERCOT,487871.121,7.9295068,1.6673827,3145.2588,23126.42,32564.6,688319.63,4278971,58.001568,0,1513.86
1/12/2006,WECC,876421.584,8.1840906,1.6299193,8287.7109,62045.199,88193.844,1839216,26915852,45.862225,-1170263.9,1513.86
1/13/2006,EAST,5051789.771,8.5444803,2.0598862,31548.842,243761.08,334961.53,7225184.5,75239808,47.473686,2618123.3,1513.86
1/13/2006,ERCOT,508123.371,7.7401218,1.6673827,3137.6248,22814.199,32031.84,688794.13,4278971,57.141804,0,1513.86
1/13/2006,WECC,841450.069,7.8750029,1.6299193,7569.103,61745.875,84487.227,1807743.9,26915852,46.287132,-1170263.9,1513.86
1/14/2006,EAST,5005502.682,8.5444803,2.0598862,27149.092,251759.73,333608.97,7129371,75239808,43.003517,2618123.3,1513.86
1/14/2006,ERCOT,503945.989,7.7401218,1.6673827,2147.3425,25973.85,33496.672,693357.44,4278971,49.306553,0,1513.86
1/14/2006,WECC,799671.27,7.8750029,1.6299193,6732.5396,59783.723,81016.602,1695020.8,26915852,46.816967,-1170263.9,1513.86
1/15/2006,EAST,5062069.673,8.5444803,2.0598862,17669.844,273342.31,329101.84,7185036.5,75239808,35.650673,2618123.3,1513.86
1/15/2006,ERCOT,469986.525,7.7401218,1.6673827,1857.2233,23555.99,29846.221,635954.56,4278971,54.163994,0,1513.86
1/15/2006,WECC,784201.944,7.8750029,1.6299193,7031.4404,58995.438,82458.859,1662416.1,26915852,43.139179,-1170263.9,1513.86
