date,month,year,co2mass,gasprice,coalprice,load
1/1/2006,1,2006,4548660.434,9.3413134,2.0598862,6454708
1/2/2006,1,2006,4780283.053,9.3413134,2.0598862,6744459
1/3/2006,1,2006,5203013.291,9.7069626,2.0598862,7311067.5
1/4/2006,1,2006,5281134.819,9.2032948,2.0598862,7412906
1/5/2006,1,2006,5392328.705,9.2486582,2.0598862,7498369.5
1/6/2006,1,2006,5607188.021,9.0900459,2.0598862,7838470
1/7/2006,1,2006,5350078.137,9.0900459,2.0598862,7536357.5
1/8/2006,1,2006,4922790.206,9.0900459,2.0598862,6945477
1/9/2006,1,2006,5168949.078,8.6416359,2.0598862,7295408.5
1/10/2006,1,2006,5188420.014,8.4733162,2.0598862,7366429
1/11/2006,1,2006,5132423.913,8.5183449,2.0598862,7330277.5
1/12/2006,1,2006,5065140.187,8.6375437,2.0598862,7229175.5
1/13/2006,1,2006,5051789.771,8.5444803,2.0598862,7225184.5
1/14/2006,1,2006,5005502.682,8.5444803,2.0598862,7129371
1/15/2006,1,2006,5062069.673,8.5444803,2.0598862,7185036.5
1/16/2006,1,2006,5308716.941,8.5444803,2.0598862,7503638.5
1/17/2006,1,2006,5407724.353,8.715538,2.0598862,7592742.5
1/18/2006,1,2006,5508931.608,8.6975079,2.0598862,7750534
1/19/2006,1,2006,5398889.378,8.1053553,2.0598862,7626292
1/20/2006,1,2006,5067086.169,8.6605062,2.0598862,7235199.5
1/21/2006,1,2006,4656395.193,8.6605062,2.0598862,6726732
1/22/2006,1,2006,4741157.475,8.6605062,2.0598862,6817714.5
1/23/2006,1,2006,5251895.863,8.1695328,2.0598862,7561548.5
1/24/2006,1,2006,5210038.044,8.18606,2.0598862,7517225
1/25/2006,1,2006,5397830.397,8.3704176,2.0598862,7675460.5
1/26/2006,1,2006,5519836.867,7.698235,2.0598862,7883575
1/27/2006,1,2006,5311457.861,8.034462,2.0598862,7624361
1/28/2006,1,2006,4699062.183,8.034462,2.0598862,6776145.5
1/29/2006,1,2006,4377918.229,8.034462,2.0598862,6435252
1/30/2006,1,2006,4969410.604,8.1798334,2.0598862,7181406
1/31/2006,1,2006,5196668.712,8.5908794,2.0598862,7488683
2/1/2006,2,2006,5281532.958,8.5373983,2.0730097,7480861.5
2/2/2006,2,2006,5195331.594,7.8708,2.0730097,7320618.5
2/3/2006,2,2006,4965498.737,7.9270802,2.0730097,7040895
2/4/2006,2,2006,4888371.471,7.9270802,2.0730097,6890477
2/5/2006,2,2006,5084608.195,7.9270802,2.0730097,7076854
2/6/2006,2,2006,5596277.551,8.2419081,2.0730097,7790020
2/7/2006,2,2006,5600192.067,7.8234591,2.0730097,7805038.5
2/8/2006,2,2006,5711717.044,7.967936,2.0730097,7944944.5
2/9/2006,2,2006,5747408.714,7.678463,2.0730097,8034212.5
2/10/2006,2,2006,5684192.366,7.780746,2.0730097,7924176
2/11/2006,2,2006,5319564.969,7.780746,2.0730097,7396865.5
2/12/2006,2,2006,5444019.135,7.780746,2.0730097,7575518.5
2/13/2006,2,2006,5937613.825,7.4614468,2.0730097,8338964.5
2/14/2006,2,2006,5660410.967,7.0712848,2.0730097,7928644.5
2/15/2006,2,2006,5385986.195,7.3808818,2.0730097,7434129
2/16/2006,2,2006,5212193.092,7.3164468,2.0730097,7212486
2/17/2006,2,2006,5317102.573,7.703651,2.0730097,7366389.5
2/18/2006,2,2006,5568719.418,7.703651,2.0730097,7690079.5
2/19/2006,2,2006,5640510.07,7.703651,2.0730097,7815341
2/20/2006,2,2006,5762520.742,7.703651,2.0730097,8018966.5
2/21/2006,2,2006,5556652.961,7.4556899,2.0730097,7707632
2/22/2006,2,2006,5435995.43,7.525753,2.0730097,7536887
2/23/2006,2,2006,5385558.85,7.2880759,2.0730097,7410349
2/24/2006,2,2006,5357609.814,7.5928459,2.0730097,7386715
2/25/2006,2,2006,4997834.895,7.5928459,2.0730097,6946643.5
2/26/2006,2,2006,5056101.493,7.5928459,2.0730097,7028767.5
2/27/2006,2,2006,5554041.217,7.1143718,2.0730097,7775954
2/28/2006,2,2006,5335004.03,6.594418,2.0730097,7378602
3/1/2006,3,2006,5134045.786,6.5809369,2.0909662,7113074
3/2/2006,3,2006,5154568.93,6.7804389,2.0909662,7139077.5
3/3/2006,3,2006,5267474.331,6.6022959,2.0909662,7275971
3/4/2006,3,2006,5011976.317,6.6022959,2.0909662,6910317.5
3/5/2006,3,2006,4805322.386,6.6022959,2.0909662,6613891
3/6/2006,3,2006,5171221.467,6.476491,2.0909662,7182083
3/7/2006,3,2006,5219786.29,6.490757,2.0909662,7256907.5
3/8/2006,3,2006,5214721.497,6.3843498,2.0909662,7216848
3/9/2006,3,2006,4985686.625,6.2358398,2.0909662,6933954.5
3/10/2006,3,2006,4836299.805,6.2989359,2.0909662,6755002
3/11/2006,3,2006,4486706.087,6.2989359,2.0909662,6271054.5
3/12/2006,3,2006,4358201.948,6.2989359,2.0909662,6155660.5
3/13/2006,3,2006,4869409.679,6.7621608,2.0909662,6873096
3/14/2006,3,2006,4987923.404,7.1455808,2.0909662,7003047.5
3/15/2006,3,2006,5058446.565,7.0788002,2.0909662,7120383.5
3/16/2006,3,2006,5078512.371,7.137692,2.0909662,7069110.5
3/17/2006,3,2006,5037590.686,7.1190538,2.0909662,6989144.5
3/18/2006,3,2006,4775401.344,7.1190538,2.0909662,6654764.5
3/19/2006,3,2006,4702779.593,7.1190538,2.0909662,6551737.5
3/20/2006,3,2006,5270727.481,7.054873,2.0909662,7401027
3/21/2006,3,2006,5386069.118,6.9310131,2.0909662,7594368.5
3/22/2006,3,2006,5328357.282,7.0722818,2.0909662,7501243
3/23/2006,3,2006,5287585.133,7.0610399,2.0909662,7376986
3/24/2006,3,2006,5187362.71,7.2656751,2.0909662,7215378
3/25/2006,3,2006,4878386.003,7.2656751,2.0909662,6727676
3/26/2006,3,2006,4703303.706,7.2656751,2.0909662,6505643.5
3/27/2006,3,2006,5067784.367,6.86518,2.0909662,7085470.5
3/28/2006,3,2006,4998658.278,6.9572792,2.0909662,6933454.5
3/29/2006,3,2006,4879184.472,6.9152842,2.0909662,6809752
3/30/2006,3,2006,4834232.446,6.9202442,2.0909662,6785367.5
3/31/2006,3,2006,4753817.813,6.883471,2.0909662,6664354
4/1/2006,4,2006,4426136.62,6.883471,2.0443544,6322878
4/2/2006,4,2006,4315213.274,6.883471,2.0443544,6155618.5
4/3/2006,4,2006,4825907.063,7.218883,2.0443544,6987406.5
4/4/2006,4,2006,4850158.314,7.307405,2.0443544,7006486
4/5/2006,4,2006,4861103.065,7.0463648,2.0443544,7045586.5
4/6/2006,4,2006,4794212.543,7.1439228,2.0443544,7018934.5
4/7/2006,4,2006,4773451.723,6.8233662,2.0443544,6966436.5
4/8/2006,4,2006,4451058.048,6.8233662,2.0443544,6472693.5
4/9/2006,4,2006,4309002.994,6.8233662,2.0443544,6251695.5
4/10/2006,4,2006,4731274.178,6.7896709,2.0443544,6892595
4/11/2006,4,2006,4722089.317,6.8403258,2.0443544,6871481
4/12/2006,4,2006,4759189.34,6.5751662,2.0443544,6898243.5
4/13/2006,4,2006,4784307.091,6.3657918,2.0443544,6993984
