date,intercn,costratio,fit,lwr,upr,fit.transformed,lwr.transformed,upr.transformed
1/1/2006,EAST,0.220513552,5103748.968,5066648.133,5140849.803,0.015441739,0.008060158,0.02282332
1/1/2006,ERCOT,0.219752913,587032.3036,581179.7702,592884.837,0.010146128,7.53E-05,0.020216977
1/1/2006,WECC,0.208444393,880353.8121,873350.0476,887357.5766,0.007405264,-0.000609274,0.015419802
1/2/2006,EAST,0.220513552,5103748.968,5066648.133,5140849.803,0.015441739,0.008060158,0.02282332
1/2/2006,ERCOT,0.219752913,587032.3036,581179.7702,592884.837,0.010146128,7.53E-05,0.020216977
1/2/2006,WECC,0.208444393,880353.8121,873350.0476,887357.5766,0.007405264,-0.000609274,0.015419802
1/3/2006,EAST,0.212207081,5108402.306,5068576.388,5148228.224,0.016367567,0.008443803,0.02429133
1/3/2006,ERCOT,0.2106191,588796.0382,582740.1582,594851.9182,0.013181105,0.002760343,0.023601867
1/3/2006,WECC,0.195034224,882464.1469,875403.5899,889524.704,0.009820159,0.001740632,0.017899686
1/4/2006,EAST,0.223820517,5101917.414,5065719.517,5138115.312,0.015077333,0.0078754,0.022279265
1/4/2006,ERCOT,0.218637932,587240.5647,581367.9483,593113.1812,0.010504497,0.000399089,0.020609904
1/4/2006,WECC,0.208334437,880370.0909,873367.5378,887372.6441,0.007423892,-0.00058926,0.015437044
1/5/2006,EAST,0.222722708,5102524.034,5066038.045,5139010.023,0.015198026,0.007938775,0.022457277
1/5/2006,ERCOT,0.210883292,588743.2693,582694.5499,594791.9886,0.013090302,0.002681862,0.023498742
1/5/2006,WECC,0.202293885,881291.4761,874318.2213,888264.7308,0.00847825,0.000498625,0.016457876
1/6/2006,EAST,0.226608999,5100383.011,5064864.731,5135901.291,0.014772048,0.007705332,0.021838764
1/6/2006,ERCOT,0.213711012,588184.7447,582207.8026,594161.6868,0.012129211,0.001844283,0.022414139
1/6/2006,WECC,0.205418749,880808.2949,873829.5989,887786.9909,0.007925337,-6.05E-05,0.015911189
1/7/2006,EAST,0.226608999,5100383.011,5064864.731,5135901.291,0.014772048,0.007705332,0.021838764
1/7/2006,ERCOT,0.213711012,588184.7447,582207.8026,594161.6868,0.012129211,0.001844283,0.022414139
1/7/2006,WECC,0.205418749,880808.2949,873829.5989,887786.9909,0.007925337,-6.05E-05,0.015911189
1/8/2006,EAST,0.226608999,5100383.011,5064864.731,5135901.291,0.014772048,0.007705332,0.021838764
1/8/2006,ERCOT,0.213711012,588184.7447,582207.8026,594161.6868,0.012129211,0.001844283,0.022414139
1/8/2006,WECC,0.205418749,880808.2949,873829.5989,887786.9909,0.007925337,-6.05E-05,0.015911189
1/9/2006,EAST,0.238367622,5094021.724,5060564.623,5127478.825,0.013506406,0.006849783,0.02016303
1/9/2006,ERCOT,0.218334624,587297.5735,581419.2738,593175.8732,0.010602595,0.000487408,0.020717783
1/9/2006,WECC,0.206715295,880611.8925,873624.6318,887599.1532,0.00770059,-0.000295062,0.015696243
1/10/2006,EAST,0.243102718,5091514.092,5058543.841,5124484.343,0.013007488,0.006447728,0.019567248
1/10/2006,ERCOT,0.217981293,587364.1741,581479.1339,593249.2143,0.0107172,0.000590414,0.020843986
1/10/2006,WECC,0.209404277,880212.48,873197.2667,887227.6934,0.007243535,-0.000784104,0.015271174
1/11/2006,EAST,0.241817656,5092191.386,5059106.873,5125275.9,0.013142243,0.006559749,0.019724736
1/11/2006,ERCOT,0.213029769,588318.2347,582324.809,594311.6604,0.012358916,0.002045624,0.022672209
1/11/2006,WECC,0.205078867,880860.1822,873883.1514,887837.2129,0.007984713,7.66E-07,0.015968659
1/12/2006,EAST,0.238480553,5093961.539,5060518.203,5127404.875,0.013494432,0.006840547,0.020148317
1/12/2006,ERCOT,0.210275713,588864.7715,582799.4673,594930.0756,0.013299379,0.0028624,0.023736357
1/12/2006,WECC,0.199157045,881789.8921,874797.5238,888782.2604,0.009048597,0.0010471,0.017050094
1/13/2006,EAST,0.241077997,5092582.336,5059426.141,5125738.53,0.013220026,0.00662327,0.019816781
1/13/2006,ERCOT,0.215420731,587852.802,581914.9991,593790.605,0.011558015,0.001340436,0.021775593
1/13/2006,WECC,0.206973803,880573.0266,873583.6551,887562.398,0.007656115,-0.000341953,0.015654183
1/14/2006,EAST,0.241077997,5092582.336,5059426.141,5125738.53,0.013220026,0.00662327,0.019816781
1/14/2006,ERCOT,0.215420731,587852.802,581914.9991,593790.605,0.011558015,0.001340436,0.021775593
1/14/2006,WECC,0.206973803,880573.0266,873583.6551,887562.398,0.007656115,-0.000341953,0.015654183
1/15/2006,EAST,0.241077997,5092582.336,5059426.141,5125738.53,0.013220026,0.00662327,0.019816781
1/15/2006,ERCOT,0.215420731,587852.802,581914.9991,593790.605,0.011558015,0.001340436,0.021775593
1/15/2006,WECC,0.206973803,880573.0266,873583.6551,887562.398,0.007656115,-0.000341953,0.015654183
1/16/2006,EAST,0.241077997,5092582.336,5059426.141,5125738.53,0.013220026,0.00662327,0.019816781
1/16/2006,ERCOT,0.215420731,587852.802,581914.9991,593790.605,0.011558015,0.001340436,0.021775593
1/16/2006,WECC,0.206973803,880573.0266,873583.6551,887562.398,0.007656115,-0.000341953,0.015654183
1/17/2006,EAST,0.236346419,5095101.935,5061379.899,5128823.971,0.013721325,0.00701199,0.02043066
1/17/2006,ERCOT,0.216103701,587721.4589,581798.409,593644.5088,0.011332004,0.001139812,0.021524196
1/17/2006,WECC,0.206352887,880666.5445,873682.0216,887651.0673,0.007763129,-0.00022939,0.015755649
1/18/2006,EAST,0.23683637,5094839.56,5061185.006,5128494.113,0.013669123,0.006973214,0.020365032
1/18/2006,ERCOT,0.216411596,587662.4857,581745.9238,593579.0475,0.011230524,0.001049497,0.021411552
1/18/2006,WECC,0.206261751,880680.3181,873696.4426,887664.1937,0.007778891,-0.000212888,0.01577067
1/19/2006,EAST,0.254138915,5085803.231,5053339.29,5118267.172,0.011871255,0.005412231,0.01833028
1/19/2006,ERCOT,0.233327458,584676.6941,578976.7924,590376.5958,0.006092671,-0.003715534,0.015900877
1/19/2006,WECC,0.221541636,878553.9555,871303.3451,885804.5658,0.005345654,-0.002951354,0.013642663
1/20/2006,EAST,0.237848245,5094298.75,5060776.942,5127820.559,0.013561524,0.006892026,0.020231022
1/20/2006,ERCOT,0.218074864,587346.5168,581463.2742,593229.7593,0.010686815,0.000563123,0.020810508
1/20/2006,WECC,0.206861011,880589.9724,873601.5379,887578.4069,0.007675507,-0.000321489,0.015672502
1/21/2006,EAST,0.237848245,5094298.75,5060776.942,5127820.559,0.013561524,0.006892026,0.020231022
1/21/2006,ERCOT,0.218074864,587346.5168,581463.2742,593229.7593,0.010686815,0.000563123,0.020810508
1/21/2006,WECC,0.206861011,880589.9724,873601.5379,887578.4069,0.007675507,-0.000321489,0.015672502
1/22/2006,EAST,0.237848245,5094298.75,5060776.942,5127820.559,0.013561524,0.006892026,0.020231022
1/22/2006,ERCOT,0.218074864,587346.5168,581463.2742,593229.7593,0.010686815,0.000563123,0.020810508
1/22/2006,WECC,0.206861011,880589.9724,873601.5379,887578.4069,0.007675507,-0.000321489,0.015672502
1/23/2006,EAST,0.252142473,5086821.762,5054322.245,5119321.278,0.012073902,0.005607799,0.018540005
1/23/2006,ERCOT,0.229840651,585248.0399,579523.626,590972.4539,0.007075825,-0.002774561,0.01692621
1/23/2006,WECC,0.217498744,879078.7741,871919.0488,886238.4994,0.005946214,-0.002246793,0.014139221
1/24/2006,EAST,0.251633411,5087082.531,5054570.417,5119594.645,0.012125785,0.005657176,0.018594394
1/24/2006,ERCOT,0.228512083,585472.1551,579735.9629,591208.3473,0.007461475,-0.002409178,0.017332128
1/24/2006,WECC,0.220542649,878680.9368,871453.2671,885908.6065,0.005490962,-0.002779796,0.013761719
1/25/2006,EAST,0.246091211,5089948.649,5057195.783,5122701.516,0.012696028,0.006179518,0.019212537
1/25/2006,ERCOT,0.226440668,585828.3998,580070.9468,591585.8528,0.008074489,-0.001832749,0.017981727
1/25/2006,WECC,0.219211775,878852.8782,871655.3789,886050.3775,0.005687717,-0.002548515,0.01392395
1/26/2006,EAST,0.267579023,5079128.021,5046468.964,5111787.078,0.010543156,0.004045311,0.017041001
1/26/2006,ERCOT,0.247937354,582573.8585,576900.4098,588247.3072,0.00247418,-0.007288506,0.012236866
1/26/2006,WECC,0.240907223,876475.9334,868865.6178,884086.2489,0.002967735,-0.005740891,0.011676361
1/27/2006,EAST,0.256381348,5084667.224,5052218.84,5117115.608,0.011645235,0.005189306,0.018101165
1/27/2006,ERCOT,0.236017669,584253.1758,578566.4276,589939.9239,0.005363895,-0.004421677,0.015149466
1/27/2006,WECC,0.227507956,877834.1026,870447.3812,885220.8241,0.004521913,-0.00393085,0.012974676
1/28/2006,EAST,0.256381348,5084667.224,5052218.84,5117115.608,0.011645235,0.005189306,0.018101165
1/28/2006,ERCOT,0.236017669,584253.1758,578566.4276,589939.9239,0.005363895,-0.004421677,0.015149466
1/28/2006,WECC,0.227507956,877834.1026,870447.3812,885220.8241,0.004521913,-0.00393085,0.012974676
1/29/2006,EAST,0.256381348,5084667.224,5052218.84,5117115.608,0.011645235,0.005189306,0.018101165
1/29/2006,ERCOT,0.236017669,584253.1758,578566.4276,589939.9239,0.005363895,-0.004421677,0.015149466
1/29/2006,WECC,0.227507956,877834.1026,870447.3812,885220.8241,0.004521913,-0.00393085,0.012974676
1/30/2006,EAST,0.251824958,5086984.36,5054477.16,5119491.56,0.012106253,0.005638621,0.018573884
1/30/2006,ERCOT,0.225787077,585942.4933,580177.5692,591707.4174,0.008270817,-0.001649277,0.018190912
1/30/2006,WECC,0.221728227,878530.4379,871275.5251,885785.3508,0.005318743,-0.002983189,0.013620675
1/31/2006,EAST,0.239775942,5093272.488,5059979.346,5126565.63,0.013357338,0.006733336,0.019981341
1/31/2006,ERCOT,0.214658868,588000.1684,582045.3164,593955.0203,0.011811598,0.001564682,0.022058514
1/31/2006,WECC,0.212030294,879833.0935,872779.2941,886886.893,0.006809396,-0.001262398,0.01488119
2/1/2006,EAST,0.242815156,5091665.438,5058670.735,5124660.141,0.0130376,0.006472975,0.019602225
2/1/2006,ERCOT,0.214207097,588087.9727,582122.7141,594053.2313,0.011962689,0.001697865,0.022227512
2/1/2006,WECC,0.207751217,880456.7393,873460.2527,887453.2258,0.007523045,-0.000483164,0.015529255
2/2/2006,EAST,0.263379796,5081178.445,5048643.285,5113713.605,0.010951108,0.004477914,0.017424303
2/2/2006,ERCOT,0.231525088,584968.9378,579257.4813,590680.3944,0.006595555,-0.003232534,0.016423644
2/2/2006,WECC,0.232686875,877265.5092,869773.162,884757.8563,0.003871261,-0.004702371,0.012444894
2/3/2006,EAST,0.261509868,5082102.027,5049607.129,5114596.925,0.011134864,0.00466968,0.017600048
2/3/2006,ERCOT,0.226426709,585830.8282,580073.2195,591588.4369,0.008078668,-0.001828838,0.017986174
2/3/2006,WECC,0.234311888,877098.4266,869577.3392,884619.514,0.003680066,-0.004926455,0.012286586
2/4/2006,EAST,0.261509868,5082102.027,5049607.129,5114596.925,0.011134864,0.00466968,0.017600048
2/4/2006,ERCOT,0.226426709,585830.8282,580073.2195,591588.4369,0.008078668,-0.001828838,0.017986174
2/4/2006,WECC,0.234311888,877098.4266,869577.3392,884619.514,0.003680066,-0.004926455,0.012286586
2/5/2006,EAST,0.261509868,5082102.027,5049607.129,5114596.925,0.011134864,0.00466968,0.017600048
2/5/2006,ERCOT,0.226426709,585830.8282,580073.2195,591588.4369,0.008078668,-0.001828838,0.017986174
2/5/2006,WECC,0.234311888,877098.4266,869577.3392,884619.514,0.003680066,-0.004926455,0.012286586
2/6/2006,EAST,0.251520604,5087140.374,5054625.268,5119655.481,0.012137293,0.005668089,0.018606498
2/6/2006,ERCOT,0.218777074,587214.4626,581344.4217,593084.5035,0.010459581,0.000358605,0.020560557
2/6/2006,WECC,0.225219363,878102.2704,870766.9049,885437.6359,0.004828783,-0.003565213,0.013222778
2/7/2006,EAST,0.264973546,5080396.349,5047819.032,5112973.666,0.010795502,0.00431392,0.017277084
2/7/2006,ERCOT,0.231727954,584935.7108,579225.6713,590645.7503,0.006538379,-0.003287272,0.016364029
2/7/2006,WECC,0.235917532,876938.7435,869391.7867,884485.7003,0.003497337,-0.005138786,0.012133461
2/8/2006,EAST,0.26016897,5082768.217,5050295.211,5115241.222,0.011267409,0.004806581,0.017728237
2/8/2006,ERCOT,0.227350285,585670.9527,579923.2818,591418.6237,0.007803559,-0.002086846,0.017693965
2/8/2006,WECC,0.229575348,877600.6515,870169.6013,885031.7018,0.004254771,-0.004248718,0.01275826
2/9/2006,EAST,0.269977169,5077972.082,5045226.887,5110717.278,0.01031317,0.003798187,0.016828153
2/9/2006,ERCOT,0.234591943,584475.7071,578782.5722,590168.842,0.005746819,-0.004049742,0.015543381
2/9/2006,WECC,0.234671488,877062.1993,869535.0952,884589.3034,0.00363861,-0.004974795,0.012252016
2/10/2006,EAST,0.266428142,5079686.679,5047065.484,5112307.875,0.010654306,0.004163994,0.017144618
2/10/2006,ERCOT,0.232473787,584814.2764,579109.1898,590519.3631,0.006329419,-0.003487709,0.016146546
2/10/2006,WECC,0.237026828,876831.5216,869268.2185,884394.8248,0.003374641,-0.005280187,0.01202947
2/11/2006,EAST,0.266428142,5079686.679,5047065.484,5112307.875,0.010654306,0.004163994,0.017144618
2/11/2006,ERCOT,0.232473787,584814.2764,579109.1898,590519.3631,0.006329419,-0.003487709,0.016146546
2/11/2006,WECC,0.237026828,876831.5216,869268.2185,884394.8248,0.003374641,-0.005280187,0.01202947
2/12/2006,EAST,0.266428142,5079686.679,5047065.484,5112307.875,0.010654306,0.004163994,0.017144618
2/12/2006,ERCOT,0.232473787,584814.2764,579109.1898,590519.3631,0.006329419,-0.003487709,0.016146546
2/12/2006,WECC,0.237026828,876831.5216,869268.2185,884394.8248,0.003374641,-0.005280187,0.01202947
2/13/2006,EAST,0.277829455,5074266.149,5041203.942,5107328.357,0.009575838,0.002997782,0.016153894
2/13/2006,ERCOT,0.241100174,583496.4088,577822.9665,589169.8511,0.004061675,-0.005701001,0.01382435
2/13/2006,WECC,0.240496341,876512.1736,868906.0754,884118.2718,0.003009205,-0.005694594,0.011713005
2/14/2006,EAST,0.293158847,5067348.617,5033737.761,5100959.473,0.008199526,0.001512311,0.014886741
2/14/2006,ERCOT,0.254755827,581771.7323,576086.3672,587457.0975,0.001093907,-0.008689284,0.010877099
